Estado,Ano,Mês,Unnamed: 0,Mortos,Pessoas,Acidente
AC,2007,April,1560064,2,76,32
AC,2007,August,1516324,2,46,20
AC,2007,December,2990121,4,86,31
AC,2007,February,960450,0,41,19
AC,2007,January,814389,0,63,28
AC,2007,July,1473227,0,48,22
AC,2007,June,1421462,4,50,25
AC,2007,March,884868,0,44,23
AC,2007,May,1849146,2,96,35
AC,2007,November,2474877,0,63,26
AC,2007,October,3139561,4,88,35
AC,2007,September,2251490,2,65,28
AC,2008,April,1900012,0,69,33
AC,2008,August,2706224,3,95,37
AC,2008,December,3248392,1,71,31
AC,2008,February,1085789,2,59,25
AC,2008,January,1430247,1,67,31
AC,2008,July,2417501,1,92,32
AC,2008,June,1729642,1,66,27
AC,2008,March,1325753,2,82,33
AC,2008,May,1324924,1,46,24
AC,2008,November,2833819,0,79,28
AC,2008,October,2389553,1,63,25
AC,2008,September,2496746,0,56,27
AC,2009,April,913661,2,56,18
AC,2009,August,3013341,6,89,37
AC,2009,December,4204782,2,100,38
AC,2009,February,1536855,2,96,35
AC,2009,January,873781,3,79,29
AC,2009,July,3343927,5,121,41
AC,2009,June,1927325,1,65,27
AC,2009,March,1508072,3,65,27
AC,2009,May,1836166,0,67,28
AC,2009,November,2887371,2,72,25
AC,2009,October,4060187,2,95,34
AC,2009,September,2586496,3,68,26
AC,2010,April,2759608,0,94,38
AC,2010,August,5135034,1,106,48
AC,2010,December,5295889,0,95,34
AC,2010,February,846592,0,50,22
AC,2010,January,1276827,0,71,33
AC,2010,July,3650888,3,99,42
AC,2010,June,3701992,2,92,42
AC,2010,March,2042115,2,89,38
AC,2010,May,3882729,0,126,48
AC,2010,November,5628409,2,112,42
AC,2010,October,4379227,3,79,35
AC,2010,September,4085972,1,90,40
AC,2011,April,4049132,1,97,44
AC,2011,August,6504591,3,116,46
AC,2011,December,1321737,3,82,33
AC,2011,February,2740005,1,73,31
AC,2011,January,2537363,2,102,36
AC,2011,July,7104141,3,138,57
AC,2011,June,4222812,0,92,35
AC,2011,March,5281916,4,143,55
AC,2011,May,3905134,1,91,39
AC,2011,November,2938767,0,91,45
AC,2011,October,6205084,1,108,51
AC,2011,September,6974928,4,115,46
AC,2012,April,3618258,3,126,56
AC,2012,August,3352036,0,68,30
AC,2012,December,7478357,0,115,49
AC,2012,February,1379106,0,72,24
AC,2012,January,1797313,0,90,35
AC,2012,July,4460657,1,130,49
AC,2012,June,3672287,0,86,39
AC,2012,March,3345113,3,126,50
AC,2012,May,3765271,2,108,43
