Estado,Ano,Municipio,Unnamed: 0,Mortos,Pessoas,Acidente
AC,2007,ACRELANDIA,513993,1,16,9
AC,2007,ASSIS BRASIL,46449,1,5,1
AC,2007,BRASILEIA,89084,0,3,1
AC,2007,BUJARI,652863,1,18,10
AC,2007,CAPIXABA,1411391,1,61,20
AC,2007,EPITACIOLANDIA,640801,3,31,10
AC,2007,PLACIDO DE CASTRO,378092,0,14,6
AC,2007,PORTO ACRE,470099,1,17,7
AC,2007,RIO BRANCO,14576608,6,513,219
AC,2007,SENA MADUREIRA,675312,2,28,13
AC,2007,SENADOR GUIOMARD,1316231,4,42,18
AC,2007,XAPURI,565056,0,18,10
AC,2008,ACRELANDIA,754462,0,21,10
AC,2008,ASSIS BRASIL,28588,1,4,1
AC,2008,BRASILEIA,474125,0,8,6
AC,2008,BUJARI,1677453,2,68,26
AC,2008,CAPIXABA,1082192,2,24,12
AC,2008,EPITACIOLANDIA,100972,0,6,2
AC,2008,PLACIDO DE CASTRO,439010,1,10,5
AC,2008,PORTO ACRE,110645,0,5,2
AC,2008,RIO BRANCO,16511258,2,574,234
AC,2008,SENA MADUREIRA,1557261,3,53,22
AC,2008,SENADOR GUIOMARD,1404031,1,48,21
AC,2008,XAPURI,748605,1,24,12
AC,2009,ACRELANDIA,777211,1,16,9
AC,2009,ASSIS BRASIL,45974,1,6,1
AC,2009,BRASILEIA,259645,0,5,4
AC,2009,BUJARI,1456402,1,38,16
AC,2009,CAPIXABA,809937,1,32,14
AC,2009,EPITACIOLANDIA,711758,1,21,8
AC,2009,PLACIDO DE CASTRO,635284,0,18,6
AC,2009,PORTO ACRE,269006,0,4,3
AC,2009,RIO BRANCO,19108607,20,681,250
AC,2009,SENA MADUREIRA,1563783,1,57,17
AC,2009,SENADOR GUIOMARD,1841526,3,58,23
AC,2009,XAPURI,1212831,2,37,14
AC,2010,ACRELANDIA,1422180,0,32,15
AC,2010,BRASILEIA,311980,0,11,4
AC,2010,BUJARI,1987834,3,64,26
AC,2010,CAPIXABA,1351194,1,43,19
AC,2010,EPITACIOLANDIA,1112985,0,43,13
AC,2010,PLACIDO DE CASTRO,764036,1,17,10
AC,2010,PORTO ACRE,199551,1,5,3
AC,2010,RIO BRANCO,29889903,5,755,311
AC,2010,SENA MADUREIRA,1946338,2,53,22
AC,2010,SENADOR GUIOMARD,1723587,1,40,19
AC,2010,XAPURI,1975694,0,40,20
AC,2011,ACRELANDIA,1248799,1,28,12
AC,2011,ASSIS BRASIL,154672,0,8,1
AC,2011,BRASILEIA,212636,0,5,2
AC,2011,BUJARI,2319271,2,57,22
AC,2011,CAPIXABA,961958,1,15,8
AC,2011,EPITACIOLANDIA,658476,1,26,9
AC,2011,MANOEL URBANO,512226,0,7,4
AC,2011,PLACIDO DE CASTRO,911358,0,27,10
AC,2011,PORTO ACRE,32780,0,3,1
AC,2011,RIO BRANCO,40460698,8,904,390
AC,2011,SENA MADUREIRA,2099013,6,65,21
AC,2011,SENADOR GUIOMARD,2886444,3,72,27
AC,2011,XAPURI,1327279,1,31,11
AC,2012,ACRELANDIA,1259026,0,22,10
AC,2012,BRASILEIA,113498,0,8,2
AC,2012,BUJARI,2873840,6,126,24
AC,2012,CAPIXABA,808026,3,26,10
AC,2012,EPITACIOLANDIA,519728,0,13,4
AC,2012,MANOEL URBANO,567247,2,32,8
AC,2012,PLACIDO DE CASTRO,1236584,0,24,14
AC,2012,PORTO ACRE,709088,0,21,6
AC,2012,RIO BRANCO,34766746,6,899,372
AC,2012,SENA MADUREIRA,1630808,0,31,15
AC,2012,SENADOR GUIOMARD,3047733,4,88,32
AC,2012,XAPURI,616806,0,12,6
AC,2013,ACRELANDIA,696152,0,12,7
AC,2013,BRASILEIA,226091,0,8,3
AC,2013,BUJARI,2048228,3,48,18
AC,2013,CAPIXABA,2059751,5,57,21
AC,2013,CRUZEIRO DO SUL,54321,0,1,1
AC,2013,EPITACIOLANDIA,674795,0,23,9
AC,2013,PLACIDO DE CASTRO,607362,2,20,9
AC,2013,PORTO ACRE,121224,0,2,1
AC,2013,RIO BRANCO,33533562,11,797,348
AC,2013,SENA MADUREIRA,1045153,1,17,9
AC,2013,SENADOR GUIOMARD,1252974,1,27,14
AC,2013,XAPURI,716746,0,15,8
AC,2014,ACRELANDIA,1147040,3,34,14
AC,2014,BRASILEIA,122285,1,7,1
AC,2014,BUJARI,1991546,2,43,17
AC,2014,CAPIXABA,580637,3,16,8
AC,2014,EPITACIOLANDIA,561484,1,13,5
AC,2014,PLACIDO DE CASTRO,1101211,5,20,9
AC,2014,PORTO ACRE,440350,0,11,6
